8	1	-68	-56	-45
7	9	-63	-53	-44
3	4	-63	-52	-46
13	4	-63	-53	-45
5	7	-63	-52	-45
6	9	-62	-51	-44
13	3	-63	-52	-44
3	7	-62	-52	-45
14	7	-63	-53	-45
10	1	-63	-53	-46
8	9	-63	-53	-45
12	7	-63	-53	-45
14	1	-63	-54	-45
1	3	-63	-53	-45
13	7	-63	-53	-45
13	6	-63	-54	-45
8	6	-63	-54	-45
1	6	-63	-54	-45
2	6	-63	-54	-45
3	3	-63	-53	-46
13	5	-63	-54	-46
7	5	-63	-54	-46
1	1	-63	-54	-46
11	1	-64	-54	-46
11	2	-63	-54	-46
9	2	-63	-54	-46
7	4	-63	-54	-46
7	8	-63	-54	-45
10	4	-63	-53	-45
6	8	-63	-53	-45
2	7	-63	-53	-45
4	8	-63	-54	-46
6	7	-63	-54	-46
14	5	-63	-54	-46
9	3	-63	-54	-46
1	5	-63	-54	-46
12	3	-63	-54	-46
3	9	-63	-54	-46
0	8	-63	-54	-46
10	9	-63	-54	-46
0	1	-63	-54	-46
4	1	-64	-53	-46
7	3	-63	-53	-46
0	7	-64	-53	-46
10	7	-64	-53	-46
5	3	-64	-53	-46
7	2	-64	-53	-46
3	6	-63	-53	-46
4	4	-63	-53	-46
2	1	-64	-53	-46
5	2	-64	-53	-46
1	7	-64	-53	-46
12	1	-64	-53	-46
9	5	-64	-53	-46
2	4	-64	-53	-46
10	8	-64	-53	-46
12	5	-64	-53	-46
4	7	-64	-53	-46
11	8	-63	-53	-46
5	1	-64	-53	-46
3	1	-64	-53	-46
10	2	-64	-53	-46
7	7	-63	-53	-46
3	5	-63	-53	-46
8	4	-63	-53	-46
7	1	-63	-53	-46
1	8	-64	-53	-46
11	4	-63	-53	-46
11	6	-63	-53	-46
9	9	-63	-53	-46
2	5	-63	-53	-46
6	1	-63	-53	-45
5	5	-64	-53	-46
5	8	-63	-53	-46
0	6	-64	-53	-46
14	6	-64	-53	-46
4	3	-64	-53	-46
5	4	-64	-53	-46
9	8	-64	-53	-46
9	7	-63	-53	-46
2	9	-63	-53	-46
8	5	-63	-53	-46
2	2	-63	-53	-46
6	3	-63	-53	-46
12	2	-63	-53	-46
8	8	-63	-53	-46
13	1	-63	-53	-46
6	6	-63	-53	-46
6	2	-63	-53	-46
2	8	-63	-53	-46
8	3	-63	-53	-46
5	9	-63	-53	-46
11	7	-63	-53	-46
6	5	-63	-53	-46
1	4	-63	-53	-46
13	8	-63	-53	-46
4	2	-63	-53	-46
13	2	-63	-53	-46
3	2	-63	-53	-46
12	8	-63	-53	-46
4	9	-63	-53	-46
11	5	-63	-53	-46
5	6	-63	-53	-46
10	6	-63	-53	-46
11	9	-63	-53	-46
2	3	-63	-53	-46
6	4	-63	-53	-46
11	3	-63	-53	-46
8	2	-63	-53	-46
4	6	-63	-53	-46
7	6	-63	-53	-46
1	2	-63	-53	-46
12	6	-63	-53	-46
9	4	-63	-53	-46
12	4	-63	-53	-46
3	8	-63	-53	-46
14	2	-63	-53	-46
9	1	-63	-53	-46
12	9	-63	-53	-46
1	9	-63	-53	-46
10	5	-63	-53	-46
9	6	-63	-53	-46
10	3	-63	-53	-46
4	5	-63	-53	-46
8	7	-63	-53	-46
