3	4	42	-62
3	4	41	-72
3	4	41	-71
3	4	42	-64
3	4	43	-74
3	4	43	-76
3	4	42	-62
3	4	41	-72
3	4	41	-71
3	4	42	-64
3	4	43	-74
3	4	43	-76
3	4	42	-73
3	4	41	-74
3	4	41	-74
3	4	42	-64
3	4	43	-74
3	4	43	-76
3	4	42	-73
3	4	41	-74
3	4	41	-74
3	4	42	-64
3	4	43	-74
3	4	43	-76
3	4	42	-67
3	4	41	-70
3	4	41	-72
3	4	42	-64
3	4	43	-68
3	4	42	-67
3	4	41	-70
3	4	41	-72
3	4	42	-64
3	4	43	-68
3	4	42	-67
3	4	41	-69
3	4	41	-72
3	4	42	-68
3	4	43	-67
3	4	42	-67
3	4	41	-69
3	4	41	-72
3	4	42	-68
3	4	43	-67
3	4	42	-66
3	4	41	-69
3	4	41	-68
3	4	42	-65
3	4	43	-70
3	4	43	-67
3	4	42	-66
3	4	41	-69
3	4	41	-68
3	4	42	-65
3	4	43	-70
3	4	43	-67
3	7	42	-64
3	7	41	-70
3	7	41	-70
3	7	43	-70
3	7	43	-71
3	7	42	-66
3	7	42	-67
3	7	41	-69
3	7	41	-70
3	7	43	-70
3	7	43	-71
3	7	42	-66
3	7	42	-71
3	7	41	-69
3	7	41	-70
3	7	43	-62
3	7	43	-65
3	7	42	-70
3	7	41	-68
3	7	41	-67
3	7	43	-65
3	7	43	-64
3	7	42	-68
3	7	41	-70
3	7	41	-67
3	7	43	-65
3	7	43	-64
3	7	42	-72
3	7	41	-70
3	7	41	-70
3	7	43	-65
3	7	43	-64
3	7	42	-67
3	7	41	-70
3	7	41	-70
3	7	43	-64
3	7	43	-64
3	7	42	-68
3	7	41	-70
3	7	41	-69
3	7	43	-64
3	7	43	-64
3	7	42	-67
3	7	42	-68
3	7	41	-71
3	7	41	-71
3	7	43	-69
3	7	43	-64
3	7	42	-67
3	7	42	-68
3	7	41	-70
3	7	41	-69
3	7	43	-69
3	7	43	-68
3	7	42	-63
1	3	42	-59
1	3	41	-68
1	3	43	-70
1	3	41	-66
1	3	43	-70
1	3	42	-62
1	3	42	-60
1	3	41	-70
1	3	41	-70
1	3	43	-70
1	3	42	-55
1	3	42	-53
