3	4	-72	-66	-72
3	7	-71	-67	-69
1	3	-71	-64	-70
1	6	-70	-64	-70
3	3	-70	-64	-70
1	1	-69	-64	-70
1	5	-69	-64	-70
4	1	-69	-64	-69
5	3	-69	-63	-68
3	6	-69	-64	-69
4	4	-69	-64	-68
2	1	-69	-64	-68
5	2	-69	-64	-68
2	4	-69	-64	-68
5	1	-69	-64	-67
3	5	-69	-64	-68
1	8	-69	-64	-68
6	1	-69	-64	-68
5	5	-69	-63	-68
4	3	-69	-63	-68
5	4	-68	-62	-68
2	2	-69	-62	-68
6	3	-68	-62	-68
6	6	-68	-62	-68
6	2	-68	-62	-68
6	5	-68	-62	-68
1	4	-68	-62	-68
4	2	-68	-62	-68
3	2	-68	-62	-68
2	3	-68	-62	-68
6	4	-68	-62	-68
1	2	-68	-62	-68
3	8	-68	-62	-68
4	5	-68	-62	-68
